response.time.s,throughput,mips
0.23,1.20,5.19
0.16,1.70,10.41
0.32,1.50,4.68
0.23,2.90,12.39
0.20,16.20,79.61
0.16,13.60,82.93
0.11,26.20,242.59
0.18,1.50,8.26
0.59,2.00,3.42
0.14,6.90,48.82
0.19,6.50,33.48
0.13,7.90,60.54
0.17,18.30,105.78
0.32,12.70,40.32
0.12,10.60,89.08
0.11,14.90,132.13
0.14,1.40,9.82
0.21,13.70,64.93
0.26,0.80,3.12
1.66,1.00,0.60
2.70,1.40,0.52
0.17,13.30,76.22
0.18,18.50,104.52
0.23,15.40,65.81
0.19,1.50,7.84
0.26,0.40,1.52
0.10,18.80,181.82
0.21,12.30,59.96
0.42,9.20,21.87
0.11,19.00,176.91
0.13,6.90,54.19
0.33,1.40,4.30
0.36,7.60,21.03
0.55,1.50,2.75
0.34,1.20,3.53
0.10,13.30,136.09
0.23,7.20,31.78
0.16,3.40,20.73
0.18,14.60,82.25
0.32,7.60,23.55
0.23,14.60,64.09
0.45,6.70,15.02
0.13,2.40,17.80
0.11,21.30,191.03
0.60,6.80,11.25
1.73,2.80,1.62
0.13,6.90,51.37
0.17,2.00,12.02
0.28,9.60,34.53
0.17,21.60,128.57
0.14,8.70,63.35
0.24,4.60,18.92
0.42,3.70,8.71
0.32,3.90,12.02
0.12,12.50,101.85
0.13,7.90,63.03
0.11,7.40,66.27
0.13,7.70,57.89
0.11,8.20,71.77
0.33,1.80,5.46
0.13,5.40,40.45
0.12,7.60,61.29
2.25,1.30,0.58
0.27,11.80,43.45
0.29,9.70,33.76
0.12,5.70,46.72
0.15,12.60,83.17
0.30,2.40,7.99
0.11,15.50,137.78
0.06,4.10,63.66
0.30,3.20,10.63
0.20,9.00,44.87
0.30,12.50,41.92
0.53,3.40,6.47
0.14,5.80,40.80
0.13,6.60,51.26
0.17,25.60,155.15
0.23,3.20,13.70
3.57,5.60,1.57
0.20,1.00,5.00
0.22,13.70,61.32
0.06,9.90,154.69
0.06,1.40,21.62
0.25,2.60,10.36
0.11,36.90,344.86
0.29,1.90,6.49
0.22,1.60,7.21
0.41,1.70,4.18
0.56,4.30,7.63
0.88,4.00,4.55
0.84,6.80,8.12
1.51,3.80,2.51
0.19,7.60,39.93
0.15,10.70,71.21
0.16,17.30,110.05
0.11,18.50,161.11
0.57,1.30,2.29
0.11,21.60,196.36
0.49,9.60,19.40
0.20,9.90,49.00
0.25,4.80,19.00
0.44,9.40,21.39
0.28,4.20,14.96
0.05,15.40,334.78
0.30,2.20,7.43
0.31,15.20,48.87
0.29,2.70,9.32
0.27,1.00,3.75
0.22,1.00,4.54
1.48,7.50,5.07
0.40,1.60,4.04
0.55,1.10,2.01
0.41,17.80,43.10
0.17,14.20,84.44
0.52,14.50,28.05
0.10,21.00,218.75
0.25,0.70,2.78
0.25,7.00,27.58
0.14,9.50,67.38
0.50,5.00,9.94
0.29,8.10,28.22
0.21,12.60,60.67
0.77,1.00,1.30
0.31,12.60,40.75
0.14,13.10,93.15
0.23,6.10,27.01
0.15,5.90,40.41
0.12,2.80,24.14
0.15,9.40,62.77
0.11,8.20,74.89
0.18,6.50,36.86
0.18,1.90,10.29
0.05,1.80,36.36
1.08,7.30,6.73
0.46,5.10,11.05
0.22,15.60,70.08
0.08,12.50,148.81
0.07,8.40,112.75
0.26,4.10,15.83
0.18,9.70,53.22
0.27,9.00,33.41
0.10,10.60,104.08
0.20,9.60,48.00
0.33,2.40,7.27
0.79,3.10,3.92
0.19,1.90,9.76
0.09,24.70,285.88
0.11,3.50,33.12
0.51,3.80,7.40
0.13,2.30,17.56
0.11,1.30,11.45
0.09,13.20,148.31
0.10,13.70,139.80
0.21,3.10,14.69
0.32,2.80,8.71
0.12,15.80,127.03
0.11,12.60,111.69
0.20,0.80,3.95
0.30,10.40,34.31
0.18,10.80,61.45
1.82,2.40,1.32
0.08,21.90,263.47
0.08,24.80,298.80
0.11,17.60,158.27
0.89,3.00,3.35
0.07,8.30,118.18
0.78,4.60,5.87
0.13,3.80,28.60
0.20,9.50,48.39
0.13,3.30,25.77
1.85,5.00,2.71
0.06,13.30,228.48
2.56,0.30,0.12
0.20,2.40,11.95
0.06,11.30,201.18
0.09,2.10,22.36
0.11,1.30,12.18
0.32,15.90,50.24
